"Linha" "Municipio" "Estado" "Ano" "POPULACAO" "PIB" "IPTU" "ISS" "ITBI"
"290" "Itaboraí" "RJ" 2009 228996 1892456434 7923069.9 25678775.99 2577809.97
"291" "Itabuna" "BA" 2009 213656 2342735464 2957102.97 14063387.95 1197211.02
"292" "Itajaí" "SC" 2009 172081 10889034901 15161417.48 38870515.98 3236628.67
"293" "Itaquaquecetuba" "SP" 2009 359253 2861176043 17478525.44 15096272.37 1683445.85
"294" "Jaboatão dos Guararapes" "PE" 2009 687688 7286182395 32603592.8 28981098.08 4624330.61
"295" "Jacareí" "SP" 2009 212824 4832390883 21494049.81 26266892.36 4047275.61
"296" "João Pessoa" "PB" 2009 702235 8628421203 26883947.18 93203136.15 35121135.93
"297" "Joinville" "SC" 2009 497331 13349587893 53460849.08 76386464.95 12400915.7
"298" "Juazeiro" "BA" 2009 243896 1770833513 803200.11 8325100.54 903218.44
"299" "Juazeiro do Norte" "CE" 2009 249829 1587640594 1868984.27 6215217.24 1393569.02
"300" "Juiz de Fora" "MG" 2009 526706 7379082116 54734033.25 69442912.51 11517899.2
"301" "Jundiaí" "SP" 2009 349929 16584963796 62159037.39 116256001.61 18499786.52
"302" "Londrina" "PR" 2009 510707 8880576253 70146223.79 67497595.72 17116018.85
"303" "Macapá" "AP" 2009 366484 4670341508 5315072.85 19393705.63 848844.86
"304" "Maceió" "AL" 2009 936314 10257022420 43126830.19 85770687.9 13160424.68
"305" "Manaus" "AM" 2009 1738641 40482808667 55659310.3 296738268.84 19464418.11
"306" "Marabá" "PA" 2009 203049 3081123509 1446880.84 35200011.19 518291.73
"307" "Maracanaú" "CE" 2009 201693 3561350404 1793322.81 8125324.18 586020.85
"308" "Marília" "SP" 2009 225938 3433107014 20975712 17211135 5172746
"309" "Maringá" "PR" 2009 335511 7280630556 41413810.91 56042303.53 14987137.43
"310" "Mauá" "SP" 2009 417458 6574529854 40743196.82 48668280.72 2461419.22
